State,State,FIPS,MajorityParty,ft_Before,ft_After,ft_perchange,g_Before,g_After,g_perchange,ar_Before,ar_After,ar_perchange,sh_Before,sh_After,sh_perchange,ny_Before,ny_After,ny_perchange,ABBV,all_Before,all_After,all_perchange
New York,NY,36,Democrat,25423,23872,-0.0610077488888015,24956,20575,-0.175548966180478,20283,24296,0.197850416605039,38150,43752,0.146841415465269,23867,30402,0.273809025013617,NY,132679,142897,7.70%
North Carolina,NC,37,Republican,29399,38760,0.318412190890847,39333,38046,-0.0327206162764091,29124,37343,0.282207114407362,53692,70301,0.309338448930939,36326,40850,0.124538897759181,NC,187874,225300,19.92%
North Dakota,ND,38,Republican,5749,4183,-0.272395199165072,4425,4196,-0.0517514124293785,5770,5815,0.00779896013864818,7637,9686,0.268299070315569,5641,8511,0.508775039886545,ND,29222,32391,10.84%
Ohio,OH,39,Democrat,33727,41266,0.223530109407893,46461,43281,-0.0684445018402531,37375,43974,0.176561872909699,74534,83996,0.126948775055679,41954,48416,0.154025837822377,OH,234051,260933,11.49%
Oklahoma,OK,40,Republican,18934,26203,0.383912538290905,29658,24262,-0.181940791691955,22450,28548,0.27162583518931,43759,48246,0.102538906282136,26282,27268,0.03751617076326,OK,141083,154527,9.53%
Oregon,OR,41,Democrat,14610,18820,0.288158795345654,20795,19107,-0.0811733589805242,17331,18294,0.0555651722347239,27133,33335,0.228577746655364,18504,19484,0.0529615218331172,OR,98373,109040,10.84%
Maryland,MD,24,Democrat,8169,8685,0.0631656261476313,9646,8759,-0.091955214596724,8127,10609,0.305401747262212,17048,18392,0.0788362271234162,14929,20526,0.374907897380936,MD,57919,66971,15.63%
Massachusetts,MA,25,Democrat,8887,8378,-0.0572746708675594,11887,11390,-0.0418103810885842,15165,17855,0.177382129904385,21166,27785,0.312718510819238,21380,19891,-0.069644527595884,MA,78485,85299,8.68%
Michigan,MI,26,Democrat,31974,32436,0.0144492400075061,32584,29976,-0.0800392830837221,26213,32653,0.245679624613741,45249,60852,0.34482530000663,34265,40320,0.176710929519918,MI,170285,196237,15.24%
Minnesota,MN,27,Democrat,29398,21883,-0.255629634669025,26439,25707,-0.0276863724044026,27343,34927,0.277365322020261,40168,64272,0.600079665405298,35738,43178,0.208181767306508,MN,159086,189967,19.41%
Mississippi,MS,28,Democrat,14967,25014,0.671276808979756,26488,17673,-0.332792207792208,11832,17313,0.463235294117647,30272,26380,-0.128567653276956,16821,18028,0.071755543665656,MS,100380,104408,4.01%
Missouri,MO,29,Democrat,33121,37466,0.131185652607107,39676,35225,-0.112183687871761,30925,39336,0.271980598221504,55571,71515,0.286912238397725,38352,42480,0.107634543178974,MO,197645,226022,14.36%
Pennsylvania,PA,42,Democrat,56079,56361,0.00502862033916439,63510,60141,-0.0530467642890883,60533,75174,0.241868071960749,99829,135603,0.358352783259374,70687,79205,0.120503062797969,PA,350638,406484,15.93%
Rhode Island,RI,44,Democrat,1355,1372,0.0125461254612546,1456,1529,0.0501373626373626,1457,1658,0.137954701441318,2478,3792,0.530266343825666,1642,1862,0.133982947624848,RI,8388,10213,21.76%
South Carolina,SC,45,Republican,16984,22497,0.324599623174753,23732,23822,0.00379234788471262,22649,23329,0.0300234005916376,30131,36801,0.221366698748797,25637,21704,-0.15341108554043,SC,119133,128153,7.57%
South Dakota,SD,46,Republican,7578,6356,-0.161256268144629,7178,5636,-0.214823070493174,4553,6525,0.43312101910828,10114,11242,0.11152857425351,5998,8534,0.422807602534178,SD,35421,38293,8.11%
Tennessee,TN,47,Republican,35780,48145,0.345584125209614,51102,41709,-0.18380885288247,33629,39107,0.162895120283089,59840,69456,0.160695187165775,39133,42522,0.0866021005289653,TN,219484,240939,9.78%
Texas,TX,48,Republican,78429,114889,0.464879062591643,126861,98234,-0.22565642711314,89057,117318,0.317336088123337,149821,186890,0.247421923495371,115380,124834,0.0819379441844341,TX,559548,642165,14.76%
Utah,UT,49,Republican,30908,18166,-0.412255726672706,36690,148222,3.03984736985555,17624,19635,0.114105764866092,23859,27938,0.17096273942747,30966,17812,-0.424788477685203,UT,140047,231773,65.50%
Vermont,VT,50,Democrat,2421,2056,-0.150764147046675,2344,2326,-0.00767918088737201,2036,2397,0.177308447937132,3191,4195,0.314634910686305,2306,2951,0.279705117085863,VT,12298,13925,13.23%
Virginia,VA,51,Democrat,27563,29884,0.0842070892138011,32861,31915,-0.0287879248957731,25962,32039,0.234072875741468,52416,60837,0.160657051282051,33074,36623,0.107304831589768,VA,171876,191298,11.30%
Washington,WA,53,Democrat,27301,32457,0.188857551005458,34198,35059,0.0251769109304638,37742,39036,0.0342854114779291,50452,73547,0.457761833029414,37388,41311,0.104926714453835,WA,187081,221410,18.35%
West Virginia,WV,54,Republican,15987,17719,0.108338024645024,18577,18145,-0.0232545620929106,12880,17075,0.325698757763975,26830,26793,-0.0013790532985464,16506,19865,0.203501756936871,WV,90780,99597,9.71%
Wisconsin,WI,55,Democrat,21119,16605,-0.213741180927127,17665,17288,-0.0213416360033965,24986,34499,0.380733210597935,44890,56977,0.269258186678548,27420,35951,0.311123267687819,WI,136080,161320,18.55%
Wyoming,WY,56,Republican,3663,4706,0.284739284739285,5379,4591,-0.146495631158208,4149,4969,0.19763798505664,6482,7861,0.212742980561555,4876,4629,-0.050656275635767,WY,24549,26756,8.99%
